"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"278",4050,"C2",6,62,55,57.8,1540,0,0,1,1384,42,1540,"win"
"279",4050,"C2",7,7,39,27.16666667,3000,12,1200,5,2743,61,4200,"timeout"
"280",4050,"C2",8,0,33,25.2,3000,14,200,1,2803,160,4400,"timeout"
"281",4051,"C2",1,30,100,40.2,1834,0,200,1,1655,39,1834,"win"
"282",4051,"C2",2,40,100,14,3000,9,200,1,2661,50,3900,"timeout"
"283",4051,"C2",3,10,50,0,2403,0,700,1,2088,47,2403,"win"
"284",4051,"C2",4,0,0,0,3000,13,800,1,2603,61,4300,"timeout"
"285",4051,"C2",5,25,20,34,1641,0,600,1,1390,44,1641,"win"
"286",4051,"C2",6,0,0,0,1757,24,500,6,1506,39,4157,"fatal"
"287",4051,"C2",7,25,20,36.66666667,2048,0,0,1,1725,44,2048,"win"
"288",4051,"C2",8,40,30,48,2646,0,600,1,2344,59,2646,"win"
"289",4052,"C2",1,0,70,9.8,3000,19,300,1,2741,50,4900,"timeout"
"290",4052,"C2",2,14,16,12.2,3000,10,2500,1,2749,50,4000,"timeout"
"291",4052,"C2",3,23,19,21,2173,0,0,2,1945,48,2173,"win"
"292",4052,"C2",4,34,27,31,3000,11,100,1,2611,61,4100,"timeout"
"293",4052,"C2",5,37,21,33,3000,14,0,1,2591,61,4400,"timeout"
"294",4052,"C2",6,21,24,14,2619,20,1500,1,2300,54,4619,"fatal"
"295",4052,"C2",7,70,63,63.16666667,1887,0,0,1,1583,48,1887,"win"
"296",4052,"C2",8,62,63,64.8,1644,0,0,3,1386,47,1644,"win"
"297",4053,"C2",1,5,10,5,3000,16,700,5,2652,50,4600,"timeout"
"298",4053,"C2",2,20,25,38,2376,0,600,1,1985,53,2376,"win"
"299",4053,"C2",3,25,30,46,2405,0,800,4,2036,49,2405,"win"
"300",4053,"C2",4,90,40,70,1846,0,0,1,1539,40,1846,"win"
"301",4053,"C2",5,0,0,15,3000,8,1000,1,2698,226,3800,"timeout"
"302",4053,"C2",6,70,30,68,1599,0,200,1,1287,35,1599,"win"
"303",4053,"C2",7,70,60,72.5,2988,0,200,6,2532,60,2988,"win"
"304",4053,"C2",8,10,0,51,1581,23,900,1,1388,39,3881,"fatal"
"305",4054,"C2",1,30,85,54,3000,8,300,4,2648,50,3800,"timeout"
"306",4054,"C2",2,25,80,38,3000,12,1000,1,2744,61,4200,"timeout"
"307",4054,"C2",3,35,75,45.4,3000,14,1100,6,2653,50,4400,"timeout"
"308",4054,"C2",4,55,76,58,3000,15,500,1,2574,61,4500,"timeout"
"309",4054,"C2",5,45,69,57,2427,19,1000,1,2114,49,4327,"fatal"
"310",4054,"C2",6,60,65,63,3000,20,0,1,2789,61,5000,"timeout"
"311",4054,"C2",7,15,60,34.16666667,3000,23,100,1,2779,72,5300,"timeout"
"312",4054,"C2",8,5,40,30,3000,25,1100,1,2781,61,5500,"timeout"
"313",4055,"C2",1,20,36,16.4,2397,0,100,1,2108,41,2397,"win"
"314",4055,"C2",2,10,8,6.6,3000,14,900,2,2663,50,4400,"timeout"
"315",4055,"C2",3,15,0,18.8,3000,16,0,1,2467,50,4600,"timeout"
"316",4055,"C2",4,0,0,4,3000,14,1500,3,2530,61,4400,"timeout"
"317",4055,"C2",5,30,0,28.8,3000,13,0,1,2584,61,4300,"timeout"
